idsubsls;idsls;kdprov;kdkab;kdkec;kddesa;kdsls;kdsubsls;nmprov;nmkab;nmkec;nmdesa;nmsls;centroid_y;centroid_x
6.40101E+15;6.40101E+13;64;1;10;13;9;0;KALIMANTAN TIMUR;PASER;BATU SOPANG;SUNGAI TERIK;RT 009;-1.82576;115.973917
6.40101E+15;6.40101E+13;64;1;10;13;10;0;KALIMANTAN TIMUR;PASER;BATU SOPANG;SUNGAI TERIK;RT 010;-1.84697;115.962659
6.40101E+15;6.40101E+13;64;1;10;14;1;0;KALIMANTAN TIMUR;PASER;BATU SOPANG;KASUNGAI;RT 001;-1.7952;115.923149
6.40101E+15;6.40101E+13;64;1;10;14;2;0;KALIMANTAN TIMUR;PASER;BATU SOPANG;KASUNGAI;RT 002;-1.80739;115.924277
6.40101E+15;6.40101E+13;64;1;10;14;3;0;KALIMANTAN TIMUR;PASER;BATU SOPANG;KASUNGAI;RT 003;-1.81169;115.928572
6.40101E+15;6.40101E+13;64;1;10;15;1;0;KALIMANTAN TIMUR;PASER;BATU SOPANG;RANTAU BUTA;RT 001;-1.72158;115.978274
6.40101E+15;6.40101E+13;64;1;10;16;1;0;KALIMANTAN TIMUR;PASER;BATU SOPANG;RANTAU LAYUNG;RT 001;-1.52367;116.01387
6.40101E+15;6.40101E+13;64;1;10;16;2;0;KALIMANTAN TIMUR;PASER;BATU SOPANG;RANTAU LAYUNG;RT 002;-1.63806;115.962779
6.40101E+15;6.40101E+13;64;1;10;17;1;0;KALIMANTAN TIMUR;PASER;BATU SOPANG;SONGKA;RT 001;-1.83098;115.850038
6.40101E+15;6.40101E+13;64;1;10;17;2;0;KALIMANTAN TIMUR;PASER;BATU SOPANG;SONGKA;RT 002;-1.83329;115.8671
6.40101E+15;6.40101E+13;64;1;10;17;3;0;KALIMANTAN TIMUR;PASER;BATU SOPANG;SONGKA;RT 003;-1.83503;115.87664
